client_batch_ref,client_payout_ref,contract_id,expected_amount,observed_amount,currency,provider_ref,value_date,outcome
BATCH-001,PAY-001,PAC-001,5500,5500,INR,UTR-8820000000,2026-06-12,Exact
BATCH-001,PAY-002,PAC-002,2200,,INR,,,Waiting
BATCH-001,PAY-003,PAC-003,5600,5600,INR,UTR-8820000002,2026-06-12,Exact
BATCH-001,PAY-004,PAC-004,2900,2900,INR,UTR-8820000003,2026-06-12,Exact
BATCH-001,PAY-005,PAC-005,2400,,INR,,,Waiting
BATCH-001,PAY-006,PAC-006,1800,1800,INR,UTR-8820000005,2026-06-12,Exact
BATCH-001,PAY-007,PAC-007,2600,2600,INR,UTR-8820000006,2026-06-12,Exact
BATCH-001,PAY-008,PAC-008,3900,3900,INR,UTR-8820000007,2026-06-12,Exact
BATCH-001,PAY-009,PAC-009,900,900,INR,UTR-8820000008,2026-06-12,Exact
BATCH-001,PAY-010,PAC-010,5000,5000,INR,UTR-8820000009,2026-06-12,Exact
BATCH-001,PAY-011,PAC-011,1700,1700,INR,UTR-8820000010,2026-06-12,Exact
BATCH-001,PAY-012,PAC-012,2800,2800,INR,UTR-8820000011,2026-06-12,Exact
BATCH-001,PAY-013,PAC-013,1400,1400,INR,UTR-8820000012,2026-06-12,Exact
BATCH-001,PAY-014,PAC-014,3400,3400,INR,UTR-8820000013,2026-06-12,Exact
BATCH-001,PAY-015,PAC-015,2100,2100,INR,RET-770014,2026-06-12,Returned
BATCH-001,PAY-016,PAC-016,1300,,INR,,,Waiting
BATCH-001,PAY-017,PAC-017,4100,4100,INR,UTR-8820000016,2026-06-12,Exact
BATCH-001,PAY-018,PAC-018,1100,1100,INR,UTR-8820000017,2026-06-12,Exact
BATCH-001,PAY-019,PAC-019,3500,3395,INR,UTR-8819000018,2026-06-12,Short
BATCH-001,PAY-020,PAC-020,800,,INR,,,Waiting
